Bundle	Title	Location
Bundle 1	National Taiwan Normal University	AO	
Bundle 1	University of Newcastle	EU	
Bundle 1	Universidad Nacional de Salta	SA	
Bundle 1	Island University Texas A&M University Corpus Christi	NA	
Bundle 1	BT Research	XX	
Bundle 2	Robarts Research Institute	NA	
Bundle 2	Chuo University	AO	
Bundle 2	Universidade Federal de São Paulo	SA	
Bundle 2	Carl Von Ossietzky University of Oldenburg	EU	
Bundle 2	King Saud University	AF	
Bundle 3	Joong-Ang Sungha University	AO	
Bundle 3	Mayo Clinic	NA	
Bundle 3	University of Pitesti	EU	
Bundle 3	Military Technical College. Cairo	AF	
Bundle 4	University of Delhi	AO	
Bundle 4	Cray Research	NA	
Bundle 4	Istituto Dalle Molle di Studi sull'Intelligenza Artificiale	EU	
Bundle 4	Metso Minerals Industries	XX	
Bundle 5	Victoria University of Wellington	AO	
Bundle 5	Universidad de Córdoba	EU	
Bundle 5	Southeast Missouri State University	NA	
Bundle 5	Instituto Tecnologico de Conkal	SA	
Bundle 6	Universidad de Murcia	EU	
Bundle 6	Saint Marianna University School of Medicine	AO	
Bundle 6	Indiana University/Purdue University Fort Wayne	NA	
Bundle 6	University of Campinas Brazil	SA	
Bundle 7	Charles River Analytics	XX	
Bundle 7	Central China Normal University	AO	
Bundle 7	Rockwell Collins	NA	
Bundle 7	Fortiss	EU	
Bundle 8	Shinshu University	AO	
Bundle 8	Council for Scientific and Industrial Research	AF	
Bundle 8	Agean University	EU	
Bundle 8	Corning Incorporated	NA	
Bundle 9	Wuhan University	AO	
Bundle 9	Wroclaw University of Technology	EU	
Bundle 9	Universidad Nacional de Río Cuarto	SA	
Bundle 9	Hewlett Packard	NA	
Bundle 10	UMR5800 Laboratoire Bordelais de Recherche en Informatique	EU	
Bundle 10	Beihang University (Beijing University of Aeronautics and Astronautics)	AO	
Bundle 10	KDDI R&D Laboratories Inc	XX	
Bundle 10	California State University Northridge	NA	
Objetive function	53.681