Bundle	Author	Affiliation
Bundle 1	Georg Heidenreich	Technical University Munich	
Bundle 1	Kathryn T. Stolee	University of Nebraska Lincoln	
Bundle 1	Augusto Ciuffoletti	University of Pisa	
Bundle 1	Ronald J. Brachman	Yahoo Research Labs	
Bundle 1	Bruce W. Ballard	Stephens College	
Bundle 2	Jesús García Molina	Universidad de Murcia	
Bundle 2	Laxmi N. Bhuyan	University of California Riverside	
Bundle 2	Dharma P. Agrawal	University of Cincinnati	
Bundle 2	Yaohan Chu	University of Maryland	
Bundle 2	E. Raymond Cannon		
Bundle 3	Xiyang Liu		
Bundle 3	Sebastian Höhn	University of Fribourg	
Bundle 3	Emre Kiciman	Microsoft	
Bundle 3	E. Pilaud	NA	
Bundle 3	John H. Wensley	SRI International	
Bundle 4	Yennun Huang	Institute for Information Industry	
Bundle 4	Siegfried Herda	Institut fur Software Technologie Bonn	
Bundle 4	Orazio Mirabella	Università degli Studi di Catania	
Bundle 4	Jan Stelovsky	University of Hawaii System	
Bundle 4	Hirotsugo Sugaya		
Bundle 5	Chinya V. Ravishankar	University of California Riverside	
Bundle 5	Yen-Min Huang	University of Michigan	
Bundle 5	Carl Neilson	Simon Fraser University	
Bundle 5	Mayez A. Al-Mouhamed	King Fahd University of Petroleum & Minerals	
Bundle 5	I-Chen Wu	National Chiao Tung University, Taiwan	
Bundle 6	Lalit M. Patnaik	ERNET India	
Bundle 6	Raif O. Onvural	AT&T Bell Laboratories	
Bundle 6	Charles H. Sauer	IBM	
Bundle 6	J. Hogarth		
Bundle 6	Min Xu	Dalian University of Technology	
Bundle 7	D. M. Atiya	University of York	
Bundle 7	S. King	Island University Texas A&M University Corpus Christi	
Bundle 7	Randal E. Bryant	Carnegie Mellon University	
Bundle 7	Martin Hirsch	Max Planck Gesellschaft	
Bundle 7	Sun Meng	Centrum Voor Wiskunde en Informatica	
Bundle 8	Ann Kedia		
Bundle 8	Christian Denger	Fraunhofer Society	
Bundle 8	Michael Breen	Centro de Regulación Genómica	
Bundle 8	D. G. Henderson	Robert Gordon University	
Bundle 8	L. S. Sellers	Computer Science Corporation	
Bundle 9	Georgia Frantzeskou	University of the Aegean	
Bundle 9	Pakorn Waewsawangwong	Imperial College London	
Bundle 9	Ian Court	Southampton Solent University	
Bundle 9	Graham King		
Bundle 9	Yingxu Wang	University of Calgary	
Bundle 10	Ganesh J. Pai	National Aeronautics and Space Administration, United States	
Bundle 10	Rob A. Rutenbar	University of Illinois Urbana Champaign	
Bundle 10	Dorothy E. Setliff	University of Pittsburgh	
Bundle 10	H. M. Harmain	United Arab Emirates University	
Bundle 10	Robert J. Gaizauskas	University of Sheffield	
Objetive function 	94.5